"id","A1_sum","A4_sum","B19_sum","C1_sum","C3_sum","C42.2_sum","C45a_sum","C47a_sum","D1_sum","sample_name","sample_type","collection_latitude","collection_longitude","collection_depth","timepoint","Barcode","full_id","collection_date","coral_species","transplant_group","native_site","transplant_site","native_transplant","home_foreign","parent","transplant_final_site","transplant_initial_site","transplant_group_sampled","transplant_time","dominant_type","minor_type","maj_ITS2","min_ITS2","notes","treatment"
"41DBSS",0,0,0.086716937,0.913283063,0,0,0,0,0,"41DBSS","coral_field",12.07093,-68.8585,1,"T0","B9","41DBSS","22-Jun","Siderastrea siderea","Bay Initial","Bay","Bay","Initial","Initial","41DBSS","Bay","Bay","Bay to Bay","Bay Initial T0","C1","B19","C1","B19","","native"
"42DBSS",0,0,0.07973766,0.92026234,0,0,0,0,0,"42DBSS","coral_field",12.07093,-68.8585,1,"T0","B10","42DBSS","22-Jun","Siderastrea siderea","Bay Initial","Bay","Bay","Initial","Initial","42DBSS","Bay","Bay","Bay to Bay","Bay Initial T0","C1","B19","C1","B19","","native"
"43DBSS",0,0,0.189929329,0,0,0,0,0,0.810070671,"43DBSS","coral_field",12.07093,-68.8585,1,"T0","B11","43DBSS","22-Jun","Siderastrea siderea","Bay Initial","Bay","Bay","Initial","Initial","43DBSS","Bay","Bay","Bay to Bay","Bay Initial T0","D1","B19","D1","B19","","native"
"44DBSS",0,0,0,1,0,0,0,0,0,"44DBSS","coral_field",12.07093,-68.8585,1,"T0","B12","44DBSS","22-Jun","Siderastrea siderea","Bay Initial","Bay","Bay","Initial","Initial","44DBSS","Bay","Bay","Bay to Bay","Bay Initial T0","C1",NA,"C1","N/A","","native"
"45DBSS",0,0,0,0.9707081,0,0,0,0,0.0292919,"45DBSS","coral_field",12.07093,-68.8585,1,"T0","C1","45DBSS","22-Jun","Siderastrea siderea","Bay Initial","Bay","Bay","Initial","Initial","45DBSS","Bay","Bay","Bay to Bay","Bay Initial T0","C1","D1","C1","D1","","native"
"46DBSS",0,0,0,0.120924574,0,0,0,0,0.879075426,"46DBSS","coral_field",12.07093,-68.8585,1,"T0","C2","46DBSS","22-Jun","Siderastrea siderea","Bay Initial","Bay","Bay","Initial","Initial","46DBSS","Bay","Bay","Bay to Bay","Bay Initial T0","D1","C1","D1","C1","","native"
"47DBSS",0,0,0.059897242,0,0,0,0,0,0.940102758,"47DBSS","coral_field",12.07093,-68.8585,1,"T0","C3","47DBSS","22-Jun","Siderastrea siderea","Bay Initial","Bay","Bay","Initial","Initial","47DBSS","Bay","Bay","Bay to Bay","Bay Initial T0","D1","B19","D1","B19","","native"
"48DBSS",0,0,0,0,0,0,0,0,1,"48DBSS","coral_field",12.07093,-68.8585,1,"T0","C4","48DBSS","22-Jun","Siderastrea siderea","Bay Initial","Bay","Bay","Initial","Initial","48DBSS","Bay","Bay","Bay to Bay","Bay Initial T0","D1",NA,"D1","N/A","","native"
"49DBSS",0,0,0,1,0,0,0,0,0,"49DBSS","coral_field",12.07093,-68.8585,1,"T0","C5","49DBSS","22-Jun","Siderastrea siderea","Bay Initial","Bay","Bay","Initial","Initial","49DBSS","Bay","Bay","Bay to Bay","Bay Initial T0","C1",NA,"C1","N/A","","native"
"50DBSS",0,0,0,1,0,0,0,0,0,"50DBSS","coral_field",12.07093,-68.8585,1,"T0","C6","50DBSS","22-Jun","Siderastrea siderea","Bay Initial","Bay","Bay","Initial","Initial","50DBSS","Bay","Bay","Bay to Bay","Bay Initial T0","C1",NA,"C1","N/A","","native"
"51DBPP",0,1,0,0,0,0,0,0,0,"51DBPP","coral_field",12.07093,-68.8585,1,"T0","A1","51DBPP","22-Jun","Porites sp.","Bay Initial","Bay","Bay","Initial","Initial","51DBPP","Bay","Bay","Bay to Bay","Bay Initial T0","A4",NA,"A4","N/A","","native"
"52DBPP",0,1,0,0,0,0,0,0,0,"52DBPP","coral_field",12.07093,-68.8585,1,"T0","A2","52DBPP","22-Jun","Porites sp.","Bay Initial","Bay","Bay","Initial","Initial","52DBPP","Bay","Bay","Bay to Bay","Bay Initial T0","A4",NA,"A4","N/A","","native"
"53DBPP",0,1,0,0,0,0,0,0,0,"53DBPP","coral_field",12.07093,-68.8585,1,"T0","A3","53DBPP","22-Jun","Porites sp.","Bay Initial","Bay","Bay","Initial","Initial","53DBPP","Bay","Bay","Bay to Bay","Bay Initial T0","A4",NA,"A4","N/A","","native"
"54DBPP",0,1,0,0,0,0,0,0,0,"54DBPP","coral_field",12.07093,-68.8585,1,"T0","A4","54DBPP","22-Jun","Porites sp.","Bay Initial","Bay","Bay","Initial","Initial","54DBPP","Bay","Bay","Bay to Bay","Bay Initial T0","A4",NA,"A4","N/A","","native"
"55DBPP",0,1,0,0,0,0,0,0,0,"55DBPP","coral_field",12.07093,-68.8585,1,"T0","A5","55DBPP","22-Jun","Porites sp.","Bay Initial","Bay","Bay","Initial","Initial","55DBPP","Bay","Bay","Bay to Bay","Bay Initial T0","A4",NA,"A4","N/A","","native"
"56DBPP",0,0.88990979,0.11009021,0,0,0,0,0,0,"56DBPP","coral_field",12.07093,-68.8585,1,"T0","A6","56DBPP","22-Jun","Porites sp.","Bay Initial","Bay","Bay","Initial","Initial","56DBPP","Bay","Bay","Bay to Bay","Bay Initial T0","A4","B19","A4","B19","","native"
"57DBPP",0,1,0,0,0,0,0,0,0,"57DBPP","coral_field",12.07093,-68.8585,1,"T0","A7","57DBPP","22-Jun","Porites sp.","Bay Initial","Bay","Bay","Initial","Initial","57DBPP","Bay","Bay","Bay to Bay","Bay Initial T0","A4",NA,"A4","N/A","","native"
"58DBPP",0,1,0,0,0,0,0,0,0,"58DBPP","coral_field",12.07093,-68.8585,1,"T0","A8","58DBPP","22-Jun","Porites sp.","Bay Initial","Bay","Bay","Initial","Initial","58DBPP","Bay","Bay","Bay to Bay","Bay Initial T0","A4",NA,"A4","N/A","","native"
"59DBPP",0,1,0,0,0,0,0,0,0,"59DBPP","coral_field",12.07093,-68.8585,1,"T0","A9","59DBPP","22-Jun","Porites sp.","Bay Initial","Bay","Bay","Initial","Initial","59DBPP","Bay","Bay","Bay to Bay","Bay Initial T0","A4",NA,"A4","N/A","","native"
"60DBPP",0,1,0,0,0,0,0,0,0,"60DBPP","coral_field",12.07093,-68.8585,1,"T0","A10","60DBPP","22-Jun","Porites sp.","Bay Initial","Bay","Bay","Initial","Initial","60DBPP","Bay","Bay","Bay to Bay","Bay Initial T0","A4",NA,"A4","N/A","","native"
"61DRSS",0,0,0,0,1,0,0,0,0,"61DRSS","coral_field",12.06624,-68.86019,5,"T0","A11","61DRSS","22-Jun","Siderastrea siderea","Reef Initial","Reef","Reef","Initial","Initial","61DRSS","Reef","Reef","Reef to Reef","Reef Initial T0","C3",NA,"C3","N/A","","native"
"62DRSS",0,0,0,0,0.744253133,0,0,0,0.255746867,"62DRSS","coral_field",12.06624,-68.86019,5,"T0","A12","62DRSS","22-Jun","Siderastrea siderea","Reef Initial","Reef","Reef","Initial","Initial","62DRSS","Reef","Reef","Reef to Reef","Reef Initial T0","C3","D1","C3","D1","","native"
"63DRSS",0,0,0,0,0,0,0,0,1,"63DRSS","coral_field",12.06624,-68.86019,5,"T0","B1","63DRSS","22-Jun","Siderastrea siderea","Reef Initial","Reef","Reef","Initial","Initial","63DRSS","Reef","Reef","Reef to Reef","Reef Initial T0","D1",NA,"D1","N/A","","native"
"64DRSS",0,0,0,0,0.975371747,0,0,0,0.024628253,"64DRSS","coral_field",12.06624,-68.86019,5,"T0","B2","64DRSS","22-Jun","Siderastrea siderea","Reef Initial","Reef","Reef","Initial","Initial","64DRSS","Reef","Reef","Reef to Reef","Reef Initial T0","C3","D1","C3","D1","","native"
"65DRSS",0,0,0,0,0.811318945,0,0,0,0.188681055,"65DRSS","coral_field",12.06624,-68.86019,5,"T0","B3","65DRSS","22-Jun","Siderastrea siderea","Reef Initial","Reef","Reef","Initial","Initial","65DRSS","Reef","Reef","Reef to Reef","Reef Initial T0","C3","D1","C3","D1","","native"
"66DRSS",0,0,0,0,1,0,0,0,0,"66DRSS","coral_field",12.06624,-68.86019,5,"T0","B4","66DRSS","22-Jun","Siderastrea siderea","Reef Initial","Reef","Reef","Initial","Initial","66DRSS","Reef","Reef","Reef to Reef","Reef Initial T0","C3",NA,"C3","N/A","","native"
"67DRSS",0,0,0,0,1,0,0,0,0,"67DRSS","coral_field",12.06624,-68.86019,5,"T0","B5","67DRSS","22-Jun","Siderastrea siderea","Reef Initial","Reef","Reef","Initial","Initial","67DRSS","Reef","Reef","Reef to Reef","Reef Initial T0","C3",NA,"C3","N/A","","native"
"68DRSS",0,0,0,0,1,0,0,0,0,"68DRSS","coral_field",12.06624,-68.86019,5,"T0","B6","68DRSS","22-Jun","Siderastrea siderea","Reef Initial","Reef","Reef","Initial","Initial","68DRSS","Reef","Reef","Reef to Reef","Reef Initial T0","C3",NA,"C3","N/A","","native"
"69DRSS",0,0,0,0,0.79257472,0,0,0,0.20742528,"69DRSS","coral_field",12.06624,-68.86019,5,"T0","B7","69DRSS","22-Jun","Siderastrea siderea","Reef Initial","Reef","Reef","Initial","Initial","69DRSS","Reef","Reef","Reef to Reef","Reef Initial T0","C3","D1","C3","D1","","native"
"70DRSS",0,0,0,0,0.897452383,0,0,0,0.102547617,"70DRSS","coral_field",12.06624,-68.86019,5,"T0","B8","70DRSS","22-Jun","Siderastrea siderea","Reef Initial","Reef","Reef","Initial","Initial","70DRSS","Reef","Reef","Reef to Reef","Reef Initial T0","C3","D1","C3","D1","","native"
"71DRPP",0,0,0,0,0,1,0,0,0,"71DRPP","coral_field",12.06624,-68.86019,5,"T0","C7","71DRPP","22-Jun","Porites sp.","Reef Initial","Reef","Reef","Initial","Initial","71DRPP","Reef","Reef","Reef to Reef","Reef Initial T0","C42.2",NA,"C42.2","N/A","","native"
"72DRPP",0,0,0,0,0,0,0,1,0,"72DRPP","coral_field",12.06624,-68.86019,5,"T0","C8","72DRPP","22-Jun","Porites sp.","Reef Initial","Reef","Reef","Initial","Initial","72DRPP","Reef","Reef","Reef to Reef","Reef Initial T0","C47a",NA,"C47a","N/A","","native"
"73DRPP",0,0,0,0,0,0,0,1,0,"73DRPP","coral_field",12.06624,-68.86019,5,"T0","C9","73DRPP","22-Jun","Porites sp.","Reef Initial","Reef","Reef","Initial","Initial","73DRPP","Reef","Reef","Reef to Reef","Reef Initial T0","C47a",NA,"C47a","N/A","","native"
"74DRPP",0,0,0,0,0,0,1,0,0,"74DRPP","coral_field",12.06624,-68.86019,5,"T0","C10","74DRPP","22-Jun","Porites sp.","Reef Initial","Reef","Reef","Initial","Initial","74DRPP","Reef","Reef","Reef to Reef","Reef Initial T0","C45a",NA,"C45a","N/A","","native"
"75DRPP",0,0,0,0,0,1,0,0,0,"75DRPP","coral_field",12.06624,-68.86019,5,"T0","C11","75DRPP","22-Jun","Porites sp.","Reef Initial","Reef","Reef","Initial","Initial","75DRPP","Reef","Reef","Reef to Reef","Reef Initial T0","C42.2",NA,"C42.2","N/A","","native"
"76DRPP",0,0,0,0,0,0,0,1,0,"76DRPP","coral_field",12.06624,-68.86019,5,"T0","C12","76DRPP","22-Jun","Porites sp.","Reef Initial","Reef","Reef","Initial","Initial","76DRPP","Reef","Reef","Reef to Reef","Reef Initial T0","C47a",NA,"C47a","N/A","","native"
"77DRPP",0,1,0,0,0,0,0,0,0,"77DRPP","coral_field",12.06624,-68.86019,5,"T0","D1","77DRPP","22-Jun","Porites sp.","Reef Initial","Reef","Reef","Initial","Initial","77DRPP","Reef","Reef","Reef to Reef","Reef Initial T0","A4",NA,"A4","N/A","","native"
"78DRPP",0,0,0,0,0,0,0,1,0,"78DRPP","coral_field",12.06624,-68.86019,5,"T0","D2","78DRPP","22-Jun","Porites sp.","Reef Initial","Reef","Reef","Initial","Initial","78DRPP","Reef","Reef","Reef to Reef","Reef Initial T0","C47a",NA,"C47a","N/A","","native"
"79DRPP",0,0,0,0,0,0,1,0,0,"79DRPP","coral_field",12.06624,-68.86019,5,"T0","D3","79DRPP","22-Jun","Porites sp.","Reef Initial","Reef","Reef","Initial","Initial","79DRPP","Reef","Reef","Reef to Reef","Reef Initial T0","C45a",NA,"C45a","N/A","","native"
"80DRPP",0,0,0,0,0,1,0,0,0,"80DRPP","coral_field",12.06624,-68.86019,5,"T0","D4","80DRPP","22-Jun","Porites sp.","Reef Initial","Reef","Reef","Initial","Initial","80DRPP","Reef","Reef","Reef to Reef","Reef Initial T0","C42.2",NA,"C42.2","N/A","","native"
"A10CW22",0,0,0.13131769,0,0,0,0,0,0.86868231,"A10CW22","coral_field",12.06624,-68.86019,5,"T1","A10","41FRSX","22-Nov","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","41DBSS","Reef","Bay","Bay to Reef","Bay to Reef T1","D1","B19","D1","B19","","transplant"
"A10CW23",0,0,0,0.392191612,0,0,0,0,0.607808388,"A10CW23","coral_field",12.06624,-68.86019,5,"T2","A10","41FRSY","23-Jun","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","41DBSS","Reef","Bay","Bay to Reef","Bay to Reef T2",NA,"C1","D1","C1","D1 60% majority","transplant"
"A11CW22",0,0,0.14807031,0,0.053305311,0,0,0,0.798624379,"A11CW22","coral_field",12.06624,-68.86019,5,"T1","A11","42FRSX","22-Nov","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","42DBSS","Reef","Bay","Bay to Reef","Bay to Reef T1","D1","B19","D1","B19/C3","","transplant"
"A11CW23",0,0,0,0,0,0,0,0,1,"A11CW23","coral_field",12.06624,-68.86019,5,"T2","A11","42FRSY","23-Jun","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","42DBSS","Reef","Bay","Bay to Reef","Bay to Reef T2","D1",NA,"D1","N/A","","transplant"
"A12CW22",0,0,0,0,0,0,0,0,1,"A12CW22","coral_field",12.06624,-68.86019,5,"T1","A12","43FRSX","22-Nov","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","43DBSS","Reef","Bay","Bay to Reef","Bay to Reef T1","D1",NA,"D1","N/A","","transplant"
"A12CW23",0,0,0,0,0,0,0,0,1,"A12CW23","coral_field",12.06624,-68.86019,5,"T2","A12","43FRSY","23-Jun","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","43DBSS","Reef","Bay","Bay to Reef","Bay to Reef T2","D1",NA,"D1","N/A","","transplant"
"A1CW22",0,0.916115454,0.083884546,0,0,0,0,0,0,"A1CW22","coral_field",12.07093,-68.8585,1,"T1","A1","41HBPX","22-Nov","Porites sp.","Bay Native","Bay","Bay","Native","Home","51DBPP","Bay","Bay","Bay to Bay","Bay to Bay T1","A4","B19","A4","B19","","native"
"A1CW23",0,0.807318234,0.192681766,0,0,0,0,0,0,"A1CW23","coral_field",12.07093,-68.8585,1,"T2","A1","41HBPY","23-Jun","Porites sp.","Bay Native","Bay","Bay","Native","Home","51DBPP","Bay","Bay","Bay to Bay","Bay to Bay T2","A4","B19","A4","B19","","native"
"A2CW22",0,1,0,0,0,0,0,0,0,"A2CW22","coral_field",12.07093,-68.8585,1,"T1","A2","42HBPX","22-Nov","Porites sp.","Bay Native","Bay","Bay","Native","Home","52DBPP","Bay","Bay","Bay to Bay","Bay to Bay T1","A4",NA,"A4","N/A","","native"
"A2CW23",0,0.972543234,0.027456766,0,0,0,0,0,0,"A2CW23","coral_field",12.07093,-68.8585,1,"T2","A2","42HBPY","23-Jun","Porites sp.","Bay Native","Bay","Bay","Native","Home","52DBPP","Bay","Bay","Bay to Bay","Bay to Bay T2","A4","B19","A4","B19","","native"
"A3CW22",0,0.905697446,0.094302554,0,0,0,0,0,0,"A3CW22","coral_field",12.07093,-68.8585,1,"T1","A3","43HBPX","22-Nov","Porites sp.","Bay Native","Bay","Bay","Native","Home","53DBPP","Bay","Bay","Bay to Bay","Bay to Bay T1","A4","B19","A4","B19","","native"
"A3CW23",0,0.971822053,0.028177947,0,0,0,0,0,0,"A3CW23","coral_field",12.07093,-68.8585,1,"T2","A3","43HBPY","23-Jun","Porites sp.","Bay Native","Bay","Bay","Native","Home","53DBPP","Bay","Bay","Bay to Bay","Bay to Bay T2","A4","B19","A4","B19","","native"
"A4CW22",0,0.848055904,0.151944096,0,0,0,0,0,0,"A4CW22","coral_field",12.07093,-68.8585,1,"T1","A4","44HBPX","22-Nov","Porites sp.","Bay Native","Bay","Bay","Native","Home","54DBPP","Bay","Bay","Bay to Bay","Bay to Bay T1","A4","B19","A4","B19","","native"
"A4CW23",0,0.900949211,0.099050789,0,0,0,0,0,0,"A4CW23","coral_field",12.07093,-68.8585,1,"T2","A4","44HBPY","23-Jun","Porites sp.","Bay Native","Bay","Bay","Native","Home","54DBPP","Bay","Bay","Bay to Bay","Bay to Bay T2","A4","B19","A4","B19","","native"
"A5CW22",0,1,0,0,0,0,0,0,0,"A5CW22","coral_field",12.07093,-68.8585,1,"T1","A5","45HBPX","22-Nov","Porites sp.","Bay Native","Bay","Bay","Native","Home","55DBPP","Bay","Bay","Bay to Bay","Bay to Bay T1","A4",NA,"A4","N/A","","native"
"A5CW23",0,0.816926722,0.183073278,0,0,0,0,0,0,"A5CW23","coral_field",12.07093,-68.8585,1,"T2","A5","45HBPY","23-Jun","Porites sp.","Bay Native","Bay","Bay","Native","Home","55DBPP","Bay","Bay","Bay to Bay","Bay to Bay T2","A4","B19","A4","B19","","native"
"A6CW22",0,0.901389101,0.098610899,0,0,0,0,0,0,"A6CW22","coral_field",12.07093,-68.8585,1,"T1","A6","46HBPX","22-Nov","Porites sp.","Bay Native","Bay","Bay","Native","Home","56DBPP","Bay","Bay","Bay to Bay","Bay to Bay T1","A4","B19","A4","B19","","native"
"A6CW23",0,0.945938999,0.054061001,0,0,0,0,0,0,"A6CW23","coral_field",12.07093,-68.8585,1,"T2","A6","46HBPY","23-Jun","Porites sp.","Bay Native","Bay","Bay","Native","Home","56DBPP","Bay","Bay","Bay to Bay","Bay to Bay T2","A4","B19","A4","B19","","native"
"A7CW22",0,0.949452954,0.050547046,0,0,0,0,0,0,"A7CW22","coral_field",12.07093,-68.8585,1,"T1","A7","47HBPX","22-Nov","Porites sp.","Bay Native","Bay","Bay","Native","Home","57DBPP","Bay","Bay","Bay to Bay","Bay to Bay T1","A4","B19","A4","B19","","native"
"A7CW23",0,0.964549101,0.035450899,0,0,0,0,0,0,"A7CW23","coral_field",12.07093,-68.8585,1,"T2","A7","47HBPY","23-Jun","Porites sp.","Bay Native","Bay","Bay","Native","Home","57DBPP","Bay","Bay","Bay to Bay","Bay to Bay T2","A4","B19","A4","B19","","native"
"A8CW22",0,1,0,0,0,0,0,0,0,"A8CW22","coral_field",12.07093,-68.8585,1,"T1","A8","48HBPX","22-Nov","Porites sp.","Bay Native","Bay","Bay","Native","Home","58DBPP","Bay","Bay","Bay to Bay","Bay to Bay T1","A4",NA,"A4","N/A","","native"
"A8CW23",0,0.927001067,0.072998933,0,0,0,0,0,0,"A8CW23","coral_field",12.07093,-68.8585,1,"T2","A8","48HBPY","23-Jun","Porites sp.","Bay Native","Bay","Bay","Native","Home","58DBPP","Bay","Bay","Bay to Bay","Bay to Bay T2","A4","B19","A4","N/A","","native"
"A9CW22",0,1,0,0,0,0,0,0,0,"A9CW22","coral_field",12.07093,-68.8585,1,"T1","A9","49HBPX","22-Nov","Porites sp.","Bay Native","Bay","Bay","Native","Home","59DBPP","Bay","Bay","Bay to Bay","Bay to Bay T1","A4",NA,"A4","N/A","","native"
"A9CW23",0,0.941554322,0.058445678,0,0,0,0,0,0,"A9CW23","coral_field",12.07093,-68.8585,1,"T2","A9","49HBPY","23-Jun","Porites sp.","Bay Native","Bay","Bay","Native","Home","59DBPP","Bay","Bay","Bay to Bay","Bay to Bay T2","A4","B19","A4","N/A","","native"
